updateDate	line	rule	project	effort	type	cleanCodeAttribute	internalTags	issueStatus	flows	scope	key	severity	comments	author	fromSonarQubeUpdate	cleanCodeAttributeCategory	linkedTicketStatus	messageFormattings	impacts	message	creationDate	quickFixAvailable	tags	codeVariants	component	prioritizedRule	textRange	debt	hash	status
2025-12-29T00:34:47+0000	90.0	php:S1066	age-verification	5min	CODE_SMELL	CLEAR		OPEN		MAIN	f5110894-2982-4dd0-b42c-3cf34ad4cf46	MAJOR		jaroslav.tesar@quanti.cz	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Merge this if statement with the enclosing one.	2025-02-12T13:53:45+0000	false	"clumsy / "		age-verification:app/Domain/Logging/Formatter/SplitJsonFormatter.php	false	{startLine=90.0, endLine=90.0, startOffset=12.0, endOffset=14.0}	5min	93e9d6e17c18ac92c8d529f31bf906b9	OPEN
2025-12-29T00:34:47+0000	95.0	php:S1066	age-verification	5min	CODE_SMELL	CLEAR		OPEN		MAIN	5877f5f6-d0e1-4d3e-b665-7c8a4337e62c	MAJOR		jaroslav.tesar@quanti.cz	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Merge this if statement with the enclosing one.	2025-02-12T13:53:45+0000	false	"clumsy / "		age-verification:app/Domain/Logging/Formatter/SplitJsonFormatter.php	false	{startLine=95.0, endLine=95.0, startOffset=12.0, endOffset=14.0}	5min	93e9d6e17c18ac92c8d529f31bf906b9	OPEN
2025-12-29T00:34:47+0000	121.0	php:S112	age-verification	20min	CODE_SMELL	COMPLETE		OPEN		MAIN	4ca22b0a-5f22-4d6b-b02a-a8187fec5c7f	MAJOR		jaroslav.tesar@quanti.cz	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Define and throw a dedicated exception instead of using a generic one.	2025-02-12T13:53:45+0000	false	"cwe / error-handling / "		age-verification:app/Domain/Logging/Formatter/SplitJsonFormatter.php	false	{startLine=121.0, endLine=121.0, startOffset=22.0, endOffset=32.0}	20min	a3360c2e7798659a05abbc0d1280ada0	OPEN
2025-12-29T00:34:47+0000	153.0	php:S1135	age-verification	0min	CODE_SMELL	COMPLETE		OPEN		MAIN	75589336-728a-4b1d-970e-ba2e08bfaccc	INFO		jaroslav.tesar@quanti.cz	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=INFO} / "	"Complete the task associated to this ""TODO"" comment."	2025-02-12T13:53:45+0000	false	"cwe / "		age-verification:app/Domain/Logging/Formatter/SplitJsonFormatter.php	false	{startLine=153.0, endLine=153.0, startOffset=0.0, endOffset=99.0}	0min	234c33197ad2a637e39ec24c3e4487ef	OPEN
2025-12-29T00:34:47+0000	194.0	php:S112	age-verification	20min	CODE_SMELL	COMPLETE		OPEN		MAIN	7f2f1577-b4ee-4d2e-b809-17d737bb61a2	MAJOR		jaroslav.tesar@quanti.cz	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Define and throw a dedicated exception instead of using a generic one.	2025-02-12T13:53:45+0000	false	"cwe / error-handling / "		age-verification:app/Domain/Logging/Formatter/SplitJsonFormatter.php	false	{startLine=194.0, endLine=194.0, startOffset=22.0, endOffset=32.0}	20min	46ee4d8277765b3f70e223a33b470126	OPEN
2025-12-29T00:34:47+0000	35.0	javascript:S7764	age-verification	2min	CODE_SMELL	CONVENTIONAL		OPEN		MAIN	4f39b8cc-a411-43f3-9db6-2ef3b13b83f5	MINOR		jaroslav.tesar@quanti.cz	false	CONSISTENT	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=LOW} / "	Prefer `globalThis` over `window`.	2025-01-06T12:03:55+0000	true	"portability / es2020 / "		age-verification:resources/js/Pages/Result.vue	false	{startLine=35.0, endLine=35.0, startOffset=16.0, endOffset=22.0}	2min	7ccd6bde264d1856dee1a2313aac1b6b	OPEN
2025-12-29T00:34:47+0000	66.0	javascript:S7781	age-verification	5min	CODE_SMELL	CLEAR		OPEN		MAIN	8fad7bfe-1f45-431c-a980-8da1c3395ec1	MINOR		jaroslav.tesar@quanti.cz	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=RELIABILITY, severity=LOW} / {softwareQuality=MAINTAINABILITY, severity=LOW} / "	Prefer `String#replaceAll()` over `String#replace()`.	2024-12-18T21:11:10+0000	true	"readability / es2021 / "		age-verification:resources/js/app.js	false	{startLine=66.0, endLine=66.0, startOffset=28.0, endOffset=35.0}	5min	f52b43d414093d83c08d3c53ea5f4fc2	OPEN
2025-12-29T00:34:47+0000	23.0	php:S1172	age-verification	5min	CODE_SMELL	CLEAR		OPEN		MAIN	779df5a3-14ec-4a24-b4f3-be554f048a89	MAJOR		jaroslav.tesar@quanti.cz	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	"Remove the unused function parameter ""$request""."	2024-12-18T09:59:37+0000	false	"unused / "		age-verification:app/Http/Controllers/ErrorController.php	false	{startLine=23.0, endLine=23.0, startOffset=34.0, endOffset=42.0}	5min	b8cd9eeb11852c181dfe691674cb31a8	OPEN
2025-12-29T00:34:47+0000	20.0	Web:PageWithoutTitleCheck	age-verification	5min	BUG	CONVENTIONAL		OPEN		MAIN	b4649cc1-c479-40bc-b3e5-e99e6cee1453	MAJOR		jaroslav.tesar@quanti.cz	false	CONSISTENT	NOT_LINKED		"{softwareQuality=RELIABILITY, severity=MEDIUM} / "	Add a <title> tag to this page.	2024-12-18T09:59:37+0000	false	"user-experience / "		age-verification:resources/js/Layouts/PublicLayout.vue	false	{startLine=20.0, endLine=20.0, startOffset=0.0, endOffset=35.0}	5min	ba85dbcc478c472aaabc7ddd59987c25	OPEN
2025-12-29T00:34:47+0000	19.0	php:S1172	age-verification	5min	CODE_SMELL	CLEAR		OPEN		MAIN	dc33d6d5-cbcc-4e5a-9395-8d9d5e85f860	MAJOR		jaroslav.tesar@quanti.cz	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	"Remove the unused function parameter ""$verification""."	2024-12-17T13:13:35+0000	false	"unused / "		age-verification:app/Domain/Verification/Actions/GenerateResultToken.php	false	{startLine=19.0, endLine=19.0, startOffset=41.0, endOffset=54.0}	5min	fee5ddc134107b62f2e314c3bbc9780a	OPEN
